finding,axis,group,n,ece_uniform,ece_quantile,brier
Airspace opacity,overall,all,4375,0.054167005818438536,0.05211709220430172,0.17310448312594787
Airspace opacity,sex,F,1765,0.061718958158873134,0.05925826516286695,0.18188893141792073
Airspace opacity,sex,M,2610,0.054169115996433766,0.05263420606460616,0.16716404203961377
Airspace opacity,age_band,40-60,1917,0.05831502325493738,0.06294270998195405,0.16665292033556817
Airspace opacity,age_band,<40,1435,0.06421505937702428,0.05749944340367072,0.17420190750091888
Airspace opacity,age_band,>60,1023,0.051104312804303206,0.05986042579258036,0.18365467070275587
Airspace opacity,elderly_women,F>60,361,0.06164195748701319,0.057868680908987065,0.17305521671464288
Airspace opacity,elderly_women,other,4014,0.05632728226060038,0.05430231065482762,0.17310891391181762
Pneumothorax,overall,all,4375,0.18289532096369118,0.19008583413090216,0.15080506416170958
Pneumothorax,sex,F,1765,0.20272840936236342,0.20980583678261017,0.16509313991349173
Pneumothorax,sex,M,2610,0.16948328992014458,0.17507844067851058,0.14114282136404843
Pneumothorax,age_band,40-60,1917,0.1914736746167518,0.19854653440395276,0.15607183180748918
Pneumothorax,age_band,<40,1435,0.17498701987013082,0.18216802696587647,0.13954048829782137
Pneumothorax,age_band,>60,1023,0.17791360846744667,0.18371289674105593,0.1567369046189139
Pneumothorax,elderly_women,F>60,361,0.17508102801731,0.18839874357322448,0.1619372573424595
Pneumothorax,elderly_women,other,4014,0.18360652669588065,0.19011589335411705,0.14980388784425797
Nodule or mass,overall,all,4375,0.24648279293482175,0.24853915057740422,0.2029414854425794
Nodule or mass,sex,F,1765,0.2379280637092791,0.2413277295318364,0.19959521211175102
Nodule or mass,sex,M,2610,0.2522678876026695,0.25336980433421524,0.20520438675633884
Nodule or mass,age_band,40-60,1917,0.25257010307280303,0.25544742324401404,0.20542192628919662
Nodule or mass,age_band,<40,1435,0.2168174940303309,0.21761760170423183,0.1918755599597551
Nodule or mass,age_band,>60,1023,0.2773014058435269,0.27730140584352686,0.21381597025674143
Nodule or mass,elderly_women,F>60,361,0.2921152959366193,0.29070291422188815,0.22558541391716092
Nodule or mass,elderly_women,other,4014,0.24237882343216882,0.24471195027741635,0.20090499860169153
